                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4201,                 1.8571,                 1.3038,                0.38128,                0.60116,                0.32513,                0.19819,                  1.338,                 8.5736,                 1.3439,             0.00054556,             0.00054556,             0.00054556
                      2,                 1.3615,                  1.244,                 1.2662,                0.49424,                0.43762,                0.26724,                0.14785,                 1.5258,                  9.123,                 1.7057,              0.0010794,              0.0010794,              0.0010794
                      3,                 1.3989,                 1.2564,                 1.2846,                0.49893,                0.46026,                0.42702,                0.23397,                 1.5215,                 2.3355,                 1.5926,              0.0015913,              0.0015913,              0.0015913
                      4,                 1.3807,                 1.1948,                 1.2861,                0.47475,                0.43381,                 0.4165,                0.23134,                 1.4563,                 2.4146,                 1.4953,               0.001568,               0.001568,               0.001568
                      5,                 1.3309,                  1.144,                 1.2653,                0.67368,                0.57389,                 0.6048,                0.34807,                 1.4476,                 1.6485,                 1.3798,               0.001568,               0.001568,               0.001568
                      6,                 1.3458,                 1.1185,                 1.2589,                 0.6635,                0.55687,                0.57189,                0.34145,                 1.3946,                 1.4185,                 1.3625,               0.001535,               0.001535,               0.001535
                      7,                 1.2922,                 1.0492,                 1.2434,                 0.7215,                0.54362,                0.59504,                0.35894,                 1.4146,                 1.8831,                 1.3806,               0.001502,               0.001502,               0.001502
                      8,                 1.2735,                 1.0603,                 1.2302,                0.64772,                0.58219,                0.60645,                0.36377,                 1.3728,                 1.3139,                 1.3391,               0.001469,               0.001469,               0.001469
                      9,                 1.2285,                0.98534,                 1.2014,                0.71219,                0.67273,                0.71353,                0.43727,                 1.2677,                 1.1836,                 1.2512,               0.001436,               0.001436,               0.001436
                     10,                 1.2565,                 1.0118,                 1.2136,                0.82444,                0.58005,                0.70103,                0.43912,                 1.3065,                 1.3167,                  1.284,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.2322,                0.96931,                 1.1993,                0.75645,                0.59891,                0.64083,                0.38984,                 1.2874,                 1.5141,                 1.2609,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.2111,                0.94454,                 1.1844,                0.76925,                0.65814,                0.72813,                0.43572,                 1.3153,                 1.1172,                 1.2628,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.1904,                0.91559,                 1.1707,                0.78083,                0.55918,                0.65691,                0.43258,                 1.2449,                 1.3322,                 1.2147,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.1905,                0.90874,                  1.172,                0.77619,                0.59886,                0.66451,                0.43763,                 1.2074,                 1.2135,                 1.2051,              0.0012709,              0.0012709,              0.0012709
                     15,                  1.177,                0.87463,                 1.1789,                0.78985,                0.72501,                0.76702,                0.46639,                 1.2783,                 1.0008,                 1.2153,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.1559,                0.85789,                 1.1563,                0.76933,                0.59078,                0.67291,                0.43836,                 1.2304,                 1.1556,                 1.2158,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.1301,                0.84641,                 1.1323,                0.79732,                0.72442,                0.77951,                 0.5048,                  1.204,                0.94841,                  1.185,              0.0011719,              0.0011719,              0.0011719
                     18,                  1.133,                0.80605,                 1.1475,                0.76409,                0.64016,                0.71353,                 0.4695,                 1.1688,                 1.0523,                 1.1681,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.1229,                0.82958,                 1.1496,                0.83384,                0.65544,                0.74808,                0.49489,                 1.1608,                 1.0436,                 1.1781,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.1298,                0.82463,                 1.1341,                0.77399,                0.72345,                0.76319,                 0.4878,                 1.1864,                0.97463,                 1.1629,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.1076,                0.78929,                  1.125,                0.84187,                0.69317,                0.76854,                0.50601,                 1.1548,                0.94799,                 1.1847,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.1076,                0.78828,                 1.1357,                0.84687,                0.73978,                0.80307,                0.54258,                 1.1291,                0.86055,                 1.1568,              0.0010069,              0.0010069,              0.0010069
                     23,                  1.092,                0.77545,                 1.1324,                0.83472,                0.76198,                0.81648,                0.54589,                 1.1182,                0.83928,                  1.156,             0.00097386,             0.00097386,             0.00097386
                     24,                 1.0825,                0.77047,                 1.1142,                0.80194,                0.72496,                 0.7781,                0.51031,                 1.1473,                0.91004,                 1.1591,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.0509,                0.73845,                 1.1093,                0.77771,                0.66197,                0.74576,                0.49298,                 1.1611,                 1.0296,                 1.1835,             0.00090785,             0.00090785,             0.00090785
                     26,                 1.0632,                0.76132,                 1.1043,                 0.8177,                0.67402,                0.75517,                0.50293,                 1.1293,                0.92847,                 1.1531,             0.00087484,             0.00087484,             0.00087484
                     27,                 1.0379,                0.73263,                 1.1019,                0.80836,                0.67957,                0.76808,                0.52291,                  1.135,                0.89593,                 1.1576,             0.00084184,             0.00084184,             0.00084184
                     28,                 1.0387,                0.70768,                 1.1039,                0.83694,                0.74985,                 0.8183,                0.55858,                 1.1052,                0.82937,                 1.1361,             0.00080883,             0.00080883,             0.00080883
                     29,                 1.0312,                0.71059,                 1.1009,                0.82005,                0.73125,                0.79119,                0.52822,                 1.1395,                0.90228,                 1.1432,             0.00077582,             0.00077582,             0.00077582
                     30,                 1.0332,                0.71499,                 1.0996,                0.83903,                0.71181,                0.78842,                0.53011,                 1.1012,                0.86032,                 1.1246,             0.00074282,             0.00074282,             0.00074282
                     31,                0.99904,                 0.6876,                  1.071,                0.83932,                0.72977,                  0.802,                0.54425,                 1.1063,                0.80262,                 1.1427,             0.00070981,             0.00070981,             0.00070981
                     32,                0.99608,                0.66529,                 1.0715,                0.84715,                0.76194,                0.82782,                 0.5735,                 1.0797,                0.77736,                 1.1319,              0.0006768,              0.0006768,              0.0006768
                     33,                 1.0019,                0.66706,                 1.0978,                0.85375,                 0.7203,                0.80618,                0.54238,                 1.1195,                0.85977,                 1.1365,              0.0006438,              0.0006438,              0.0006438
                     34,                0.98704,                0.64835,                 1.0673,                0.86246,                0.76406,                0.81329,                0.55546,                 1.0946,                0.77991,                 1.1561,             0.00061079,             0.00061079,             0.00061079
                     35,                0.98743,                0.65633,                 1.0684,                0.86668,                 0.6879,                0.80412,                0.54989,                 1.0781,                0.82535,                 1.1274,             0.00057778,             0.00057778,             0.00057778
                     36,                0.96325,                0.64898,                 1.0648,                0.87764,                 0.7214,                 0.8243,                 0.5605,                 1.0805,                0.77465,                 1.1145,             0.00054478,             0.00054478,             0.00054478
                     37,                 0.9538,                0.61466,                 1.0527,                0.86604,                0.74329,                0.81953,                0.56998,                 1.0539,                0.77344,                 1.1232,             0.00051177,             0.00051177,             0.00051177
                     38,                0.92801,                0.59185,                 1.0423,                0.81496,                0.75876,                0.81702,                0.56324,                 1.1126,                0.78392,                 1.1499,             0.00047876,             0.00047876,             0.00047876
                     39,                0.92458,                0.57302,                 1.0381,                0.82978,                0.73493,                0.80744,                0.56066,                 1.0495,                0.79677,                 1.1226,             0.00044576,             0.00044576,             0.00044576
                     40,                0.91735,                0.59085,                 1.0418,                0.86087,                0.74417,                0.82747,                0.57832,                  1.042,                0.79443,                 1.0996,             0.00041275,             0.00041275,             0.00041275
                     41,                0.86235,                0.57645,                0.99055,                0.82588,                0.77037,                0.81835,                0.56337,                  1.074,                0.78949,                 1.1173,             0.00037974,             0.00037974,             0.00037974
                     42,                0.86836,                0.58378,                 1.0036,                0.80306,                0.73853,                0.78671,                0.54818,                 1.0684,                0.84353,                  1.108,             0.00034674,             0.00034674,             0.00034674
                     43,                0.85133,                0.55736,                0.98866,                0.83973,                0.73549,                0.81406,                0.56856,                 1.0375,                 0.7937,                 1.1095,             0.00031373,             0.00031373,             0.00031373
                     44,                0.82972,                0.54533,                0.97564,                0.88927,                0.71164,                0.81351,                0.55577,                 1.0566,                0.78893,                 1.1241,             0.00028072,             0.00028072,             0.00028072
                     45,                0.82074,                0.52588,                0.97805,                0.83014,                0.75598,                0.81738,                0.58226,                 1.0285,                0.75427,                 1.1118,             0.00024772,             0.00024772,             0.00024772
